LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,UTIL_1,UTIL_2,UTIL_3,UTIL_4,UTIL_5,UTIL_6,UTIL_AVG,PAY_RATIO_1,PAY_RATIO_2,PAY_RATIO_3,PAY_RATIO_4,PAY_RATIO_5,PAYRATIO_AVG,MAX_DELAY,SUM_DELAYS,NUM_MONTHS_LATE,WORSENING,BILL_TREND,HEADROOM,BILL_STD,PAYAMT_STD,default
360000,1,1,1,30,0,0,0,-1,-1,-1,98048,69568,22030,498,3150,1074,4000,5000,498,3150,1074,2416,0.2723555555555556,0.19324444444444444,0.06119444444444445,0.0013833333333333334,0.00875,0.0029833333333333335,0.08998518518518518,0.05749770009199632,0.22696323195642307,1.0,1.0,1.0,0.6568921864096839,0,0,0,1,96974,261952,41601.14238175037,1717.8588611020018,0.0
120000,1,3,1,39,-1,-1,-1,0,0,0,7764,10721,30607,25005,19771,34315,10730,30629,0,0,27000,18125,0.0647,0.08934166666666667,0.25505833333333333,0.208375,0.16475833333333334,0.2859583333333333,0.17803194444444445,1.0008394739296707,1.0007187898193224,0.0,0.0,0.7868279178201952,0.5576772363138376,0,0,0,-1,-26551,112236,10650.722311968642,13146.891571774675,0.0
80000,1,2,1,37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,3000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,3,0,80000,0.0,1224.744871391589,0.0
140000,2,2,2,23,-1,-1,-1,0,0,0,396,396,21570,24986,25256,25091,396,21570,4500,1050,1183,6000,0.0028285714285714286,0.0028285714285714286,0.15407142857142858,0.17847142857142856,0.1804,0.17922142857142856,0.11630357142857141,1.0,1.0,0.1801008564796286,0.041574279379157426,0.04714837989717428,0.453764703151192,0,0,0,-1,-24695,139604,12382.113773504103,8043.675836746943,0.0
80000,1,1,2,29,-1,-1,0,0,0,0,2170,17562,17709,15631,13402,13197,17568,3015,2008,1009,2005,507,0.027125,0.219525,0.2213625,0.1953875,0.167525,0.1649625,0.16598125,1.0003416467372737,0.17025241402676605,0.12846267033459152,0.07528727055663334,0.1519284685913465,0.3052544940493222,0,0,0,-1,-11027,77830,5778.1073977557735,6533.186726246235,0.0
50000,2,3,2,51,0,0,0,0,0,0,26660,26909,27485,27477,27651,27853,1763,1729,1111,1137,1188,997,0.5332,0.53818,0.5497,0.54954,0.55302,0.55706,0.5467833333333333,0.06551711323349066,0.0629070402037475,0.040433817374531424,0.04111967017467723,0.04265249703802104,0.050526027604893574,0,0,0,0,-1193,23340,457.786158229655,335.39494132539727,1.0
360000,2,2,2,32,0,0,0,0,0,0,93029,94054,91834,95631,100123,100738,10000,7000,10000,10000,10000,10000,0.2584138888888889,0.2612611111111111,0.25509444444444446,0.26564166666666666,0.2781194444444444,0.2798277777777778,0.26639305555555554,0.10632190018500011,0.07622449201820676,0.10456860223149397,0.0998771511041419,0.09926740653973674,0.0972519104157159,0,0,0,0,-7709,266971,3728.137162176306,1224.744871391589,0.0
460000,1,1,1,51,1,2,0,0,0,0,179442,158458,145081,130967,118659,15322,4,7506,5024,2572,2005,21559,0.3900913043478261,0.34447391304347824,0.31539347826086955,0.2847108695652174,0.25795434782608695,0.03330869565217391,0.270988768115942,2.5243282131542743e-05,0.05173661609721466,0.038360808447929634,0.02167555769052495,0.1308575903928991,0.04853116318213998,2,3,2,1,164120,280558,57603.78095721379,7845.739837644376,0.0
20000,1,1,2,37,0,0,0,0,0,0,66599,67259,69521,16970,17326,17688,2317,2579,606,628,649,623,3.32995,3.36295,3.47605,0.8485,0.8663,0.8844,2.1280249999999996,0.03444892133394787,0.037096704592856834,0.035710076605774896,0.03624610412097426,0.03669154228855721,0.03603866978842222,0,0,0,0,48911,-46599,27658.737792965174,944.3600302144657,1.0
150000,2,1,2,29,-1,2,-1,-1,0,0,2599,1530,390,1366,780,0,0,390,1366,0,0,431,0.017326666666666667,0.0102,0.0026,0.009106666666666667,0.0052,0.0,0.007405555555555557,0.0,1.0,1.0,0.0,,0.5,2,2,1,-1,2599,147401,929.34953955262,530.4065421919304,0.0
500000,1,2,1,48,-1,-1,-1,-1,-1,-1,28352,35294,74846,37985,33050,22185,35465,75212,38169,33209,22289,22289,0.056704,0.070588,0.149692,0.07597,0.0661,0.04437,0.07723733333333334,1.0048450161500537,1.0048900408839483,1.0048440173752797,1.0048108925869894,1.0046878521523552,1.0048155638297254,-1,0,0,0,6167,471648,18602.981026348083,19532.030129166465,0.0
20000,2,1,2,39,0,0,0,0,0,0,16690,17696,18878,19308,19498,0,1588,1770,1200,390,0,44334,0.8345,0.8848,0.9439,0.9654,0.9749,0.0,0.7672499999999999,0.0897377938517179,0.09375993219620722,0.062150403977625855,0.020002051492460766,,0.06641254537950295,0,0,0,0,16690,3310,7592.629557669728,17708.55374858903,1.0
80000,1,1,1,53,0,0,0,0,0,-1,39298,40061,40502,15948,15915,390,1809,2030,1476,833,390,390,0.491225,0.5007625,0.506275,0.19935,0.1989375,0.004875,0.31690416666666665,0.04515613689124086,0.05012098167991704,0.09255079006772009,0.052340559220860824,1.0,0.24803369357194777,0,0,0,1,38908,40702,16976.228823465673,717.0098093238798,0.0
50000,2,2,1,40,0,0,2,0,0,0,6732,9052,8763,9924,9967,10176,2441,0,1313,356,369,508,0.13464,0.18104,0.17526,0.19848,0.19934,0.20352,0.18204666666666666,0.26966416261599646,0.0,0.1323055219669488,0.035717868967593054,0.03626179245283019,0.0947898692006737,2,2,1,0,-3444,43268,1289.3180626465553,900.9309444494992,0.0
100000,2,2,1,42,-2,-2,-2,-2,-2,-2,0,0,3168,0,0,550,0,3168,0,0,550,0,0.0,0.0,0.03168,0.0,0.0,0.0055,0.006196666666666666,,1.0,,,1.0,1.0,-2,0,0,0,-550,100000,1267.6595231633244,1267.6595231633244,0.0
110000,1,2,2,38,3,2,2,0,0,0,78480,80604,78326,44890,41394,42727,4000,0,2000,1500,2000,2000,0.7134545454545455,0.7327636363636364,0.7120545454545455,0.4080909090909091,0.3763090909090909,0.38842727272727273,0.5551833333333335,0.04962532876780309,0.0,0.044553352639786145,0.03623713581678504,0.04680880941793245,0.035444925328461344,3,7,3,3,35753,31520,19838.63814294385,1281.2754062521713,1.0
240000,2,1,1,29,0,0,0,-1,0,0,41923,21409,17833,194043,194991,192800,1779,1000,194043,6530,7000,7000,0.17467916666666666,0.08920416666666667,0.07430416666666667,0.8085125,0.8124625,0.8033333333333333,0.46041597222222225,0.08309589425008174,0.05607581450120563,1.0,0.033488725120646594,0.03630705394190872,0.24179349756276855,0,0,0,0,-150877,198077,91780.86513956309,77361.28610530376,0.0
320000,1,2,1,37,0,0,0,0,0,0,367670,374631,348144,311004,254598,227869,13200,13006,11500,9000,10000,8000,1.14896875,1.170721875,1.08795,0.9718875,0.79561875,0.712090625,0.9812062500000001,0.03523467091618152,0.037358104692311225,0.036977016372779774,0.03534984563900738,0.04388486367167101,0.037760900258390184,0,0,0,0,139801,-47670,61120.408051648345,2137.0523312887462,1.0
200000,2,2,1,46,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,3,0,200000,0.0,0.0,0.0
180000,1,2,1,37,-1,-1,-1,-1,-1,-1,5480,11834,17380,8329,20406,9772,11850,17552,8333,20406,9772,9315,0.030444444444444444,0.06574444444444444,0.09655555555555556,0.04627222222222222,0.11336666666666667,0.054288888888888887,0.0677787037037037,1.0013520365049857,1.0098964326812427,1.0004802497298595,1.0,1.0,1.0023457437832177,-1,0,0,0,-4292,174520,5662.91474125001,4951.21818007111,0.0
100000,2,3,1,59,1,-1,0,-1,-1,-1,0,7240,7702,1550,12079,35920,7240,1000,1558,12079,35920,0,0.0,0.0724,0.07702,0.0155,0.12079,0.3592,0.10748500000000001,1.0,0.12983640612827838,1.0051612903225806,1.0,1.0,0.8269995392901718,1,1,1,2,-35920,100000,13092.807426216885,13676.583907053202,0.0
200000,2,2,2,26,0,0,-2,-2,-1,0,153900,0,0,0,3533,4053,0,0,0,3533,1000,1500,0.7695,0.0,0.0,0.0,0.017665,0.020265,0.13457166666666667,,,,1.0,0.2467308166790032,0.6233654083395016,0,0,0,0,149847,46100,62237.980149316114,1390.3889743521415,0.0
30000,2,2,2,22,0,0,0,0,-1,0,14617,17363,20430,25130,7746,10583,3000,3376,5076,8009,6017,3023,0.48723333333333335,0.5787666666666667,0.681,0.8376666666666667,0.2582,0.3527666666666667,0.5326055555555556,0.1727812014052871,0.1652471855115027,0.20198965380023876,1.0339530080041313,0.5685533402626854,0.428504877796769,0,0,0,0,4034,15383,6390.959283759103,2013.2337585751602,0.0
60000,1,2,2,30,0,0,0,0,0,0,39264,41622,42627,43914,45053,46303,3000,2000,2000,2000,2000,2000,0.6544,0.6937,0.71045,0.7319,0.7508833333333333,0.7717166666666667,0.7188416666666667,0.0720772668300418,0.04691861965420977,0.04554356241745229,0.044392160344483164,0.04319374554564499,0.0504250709583664,0,0,0,0,-7039,20736,2524.0262082632976,408.24829046386304,0.0
300000,2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-2,0,0,0,0,300000,0.0,0.0,1.0
10000,2,3,2,46,1,2,-1,2,0,0,4474,189,3510,3306,3551,5577,0,3510,0,300,2260,2000,0.4474,0.0189,0.351,0.3306,0.3551,0.5577,0.34345,0.0,1.0,0.0,0.08448324415657561,0.4052357898511745,0.29794380680155,2,5,3,1,-1103,5526,1802.2164964287724,1460.380087511467,1.0
180000,1,1,2,30,1,-2,-2,-2,-1,-1,-203,-698,-193,-688,817,1157,0,1000,0,2000,1000,2000,-0.0011277777777777777,-0.0038777777777777777,-0.0010722222222222222,-0.003822222222222222,0.004538888888888889,0.006427777777777778,0.000177777777777778,,,,2.4479804161566707,0.8643042350907519,1.6561423256237113,1,1,1,2,-1360,180203,779.615289742319,894.4271909999159,1.0
50000,2,1,2,26,2,0,0,2,2,2,25875,27132,29695,30908,30112,32123,2000,3000,2000,0,2500,0,0.5175,0.54264,0.5939,0.61816,0.60224,0.64246,0.5861500000000001,0.07371369600471768,0.10102710894089914,0.06470816617057072,0.0,0.07782585686268406,0.06345496559577432,2,8,4,0,-6248,24125,2358.0022688708336,1281.2754062521713,1.0
30000,1,3,2,29,-1,-1,-1,-1,-2,-2,390,0,780,0,0,0,0,780,0,0,0,0,0.013,0.0,0.026,0.0,0.0,0.0,0.0065,,1.0,,,,1.0,-1,0,0,1,390,29610,326.2974103482895,318.43366656181314,0.0
150000,2,2,1,38,0,0,0,0,0,0,140133,140414,141314,141000,142358,143358,6601,6501,5201,5501,5282,5200,0.93422,0.9360933333333333,0.9420933333333333,0.94,0.9490533333333333,0.95572,0.9428633333333334,0.04701098181093053,0.046003934500474124,0.036886524822695034,0.03864201520111269,0.0368448220538791,0.04107765567781829,0,0,0,0,-3225,9867,1224.0251222912052,658.1026262420373,0.0
30000,2,1,2,23,1,3,2,2,2,2,12271,11791,11305,12216,12374,12026,0,0,1100,500,0,445,0.40903333333333336,0.39303333333333335,0.37683333333333335,0.4072,0.41246666666666665,0.40086666666666665,0.3999055555555555,0.0,0.0,0.09004584151931892,0.04040730564085987,0.0,0.026090629432035762,3,12,6,-1,245,17729,396.814020249621,438.4109563716065,0.0
160000,2,2,1,44,-1,-1,-2,-2,-2,-2,1224,0,0,0,0,0,0,0,0,0,0,0,0.00765,0.0,0.0,0.0,0.0,0.0,0.0012749999999999999,,,,,,,-1,0,0,1,1224,158776,499.6959075277683,0.0,1.0
50000,1,2,2,42,0,0,0,0,0,0,39236,39729,27068,28604,28199,58428,2094,1451,1987,1039,1500,1200,0.78472,0.79458,0.54136,0.57208,0.56398,1.16856,0.7375466666666667,0.052707090538397644,0.05360573370769913,0.06946580897776534,0.03684527820135466,0.025672622715136578,0.047659306828070666,0,0,0,0,-19192,10764,11984.248656743845,420.163499921955,1.0
70000,2,1,2,27,0,0,0,0,0,0,42825,47047,62703,28945,16345,21163,5000,20000,10000,6000,5000,8000,0.6117857142857143,0.6721,0.8957571428571428,0.4135,0.2335,0.30232857142857145,0.521495238095238,0.10627670202138287,0.3189640049120457,0.34548281223009153,0.36708473539308656,0.23626139961253131,0.2748139308338276,0,0,0,0,21662,27175,17529.21864392896,5727.128425310541,0.0
320000,2,4,1,46,-2,-2,-2,-2,-2,-2,17849,5149,16615,2914,696,740,5149,16654,2914,696,740,6498,0.055778125,0.016090625,0.051921875,0.00910625,0.002175,0.0023125,0.022897395833333334,1.0,1.0023472765573278,1.0,1.0,1.0,1.0004694553114655,-2,0,0,0,17109,302151,7855.65287972086,5965.467841390704,0.0
160000,2,1,1,37,-1,-1,-1,-1,-1,-1,9293,5875,9121,2412,2271,2187,5902,9128,2412,2271,2187,4792,0.05808125,0.03671875,0.05700625,0.015075,0.01419375,0.01366875,0.03245729166666667,1.004595744680851,1.0007674597083653,1.0,1.0,1.0,1.0010726408778434,-1,0,0,0,7106,150707,3406.2410024345995,2761.579089337596,0.0
200000,1,2,2,39,0,0,-1,0,0,2,13124,11774,6328,4714,42184,39576,1058,6336,10,39585,39,1087,0.06562,0.05887,0.03164,0.02357,0.21092,0.19788,0.09808333333333334,0.089859011381009,1.0012642225031605,0.0021213406873143827,0.9383889626398635,0.0009854457246816252,0.4065237965872058,2,2,1,-2,-26452,186876,16792.854416884187,15643.384997073574,0.0
50000,2,1,2,24,1,2,2,2,2,2,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,0,0.72332,0.74376,0.7536,0.76924,0.78456,0.8007,0.7625299999999999,0.0510917500268904,0.037154989384288746,0.04419946960636472,0.03905373712654227,0.03996503059822655,0.042292995348462536,2,11,6,-1,-3869,13834,1406.5517765087782,684.9019394531357,1.0
130000,2,1,2,30,2,0,0,2,0,0,112822,115526,123658,120259,121205,124778,4527,10122,1,4355,8918,0,0.8678615384615385,0.8886615384615385,0.9512153846153846,0.9250692307692308,0.9323461538461538,0.9598307692307693,0.9208307692307692,0.03918598410747364,0.08185479305827363,8.31538595863927e-06,0.035930860938080116,0.0714709323758996,0.04569017717313713,2,4,2,2,-11956,17178,4663.86384878461,4277.765183675545,1.0
200000,2,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1,1,1,3,0,200000,0.0,0.0,0.0
240000,1,2,2,67,0,0,0,0,0,0,542827,508581,471796,468202,442401,419209,20225,17389,80167,15167,16000,13133,2.2617791666666665,2.1190875,1.9658166666666668,1.9508416666666666,1.8433375,1.7467041666666667,1.9812611111111114,0.0397675099934917,0.03685703142883789,0.1712231045574346,0.03428337639381466,0.03816711950363661,0.06405962837544309,0,0,0,0,123618,-302827,44628.417738775664,26146.947506353394,0.0
230000,2,2,2,23,-1,-1,-1,-1,-1,0,5049,1444,14019,1045,12525,12219,1444,14019,1045,12525,244,725,0.02195217391304348,0.0062782608695652175,0.06095217391304348,0.004543478260869566,0.05445652173913044,0.05312608695652174,0.03355144927536232,1.0,1.0,1.0,1.0,0.01996890089205336,0.8039937801784106,0,0,0,-1,-7170,224951,5900.583171743846,6436.6187914670445,0.0
30000,2,3,2,26,1,2,2,2,2,2,11167,13281,13773,14647,14713,14337,2600,1000,1400,600,0,700,0.37223333333333336,0.4427,0.4591,0.48823333333333335,0.49043333333333333,0.4779,0.4551,0.19576839093441759,0.07260582298700356,0.09558271318358708,0.04078026235302114,0.0,0.08094743789160587,2,11,6,-1,-3170,18833,1335.1008950637402,889.3818077743664,1.0
180000,2,1,2,30,0,0,0,0,0,0,40311,43847,50763,69026,32030,33679,10000,10000,23000,5000,4000,3500,0.22395,0.24359444444444445,0.2820166666666667,0.38347777777777775,0.17794444444444443,0.18710555555555555,0.2496814814814815,0.22806577416927043,0.19699387349053443,0.33320777677976415,0.1561036528254761,0.11876837198254105,0.20662788984951724,0,0,0,0,6632,139689,13639.231601034813,7333.1439369481905,0.0
120000,2,2,2,23,0,0,0,0,0,0,115653,108971,83592,22321,32150,36644,5000,5000,2000,20000,10000,10000,0.963775,0.9080916666666666,0.6966,0.18600833333333333,0.2679166666666667,0.3053666666666667,0.5546263888888889,0.04588376724082554,0.059814336300124414,0.08960172035303078,0.6220839813374806,0.27289597205545246,0.21805595545738274,0,0,0,0,79009,4347,41315.877652140785,6377.042156569664,0.0
200000,1,3,2,27,-1,-1,0,0,0,0,4484,192047,191248,191678,182676,181568,195316,7019,7493,5275,5786,20031,0.02242,0.960235,0.95624,0.95839,0.91338,0.90784,0.7864175000000001,1.0170218748535516,0.03670103739646951,0.03909160154008285,0.0288762617968425,0.031866848783926684,0.23071152487417462,0,0,0,-1,-177084,195516,75003.03063143515,76213.58747799939,0.0
30000,2,2,2,29,0,0,2,0,0,-2,22501,20210,8762,6200,0,0,2429,5,1062,0,0,0,0.7500333333333333,0.6736666666666666,0.29206666666666664,0.20666666666666667,0.0,0.0,0.32040555555555555,0.12018802572983671,0.0005706459712394431,0.17129032258064517,,,0.09734966476057377,2,2,1,2,22501,7499,9752.83811855127,999.0903195740947,0.0
280000,2,2,2,33,0,0,0,0,0,0,28928,24266,20209,20395,18969,18381,1634,1649,1304,703,701,705,0.10331428571428572,0.08666428571428571,0.072175,0.07283928571428572,0.06774642857142857,0.06564642857142858,0.07806428571428571,0.06733701475315255,0.08159730813004107,0.06393723951949007,0.03706046707786388,0.03813720689842772,0.05761384727579506,0,0,0,0,10547,251072,4026.8792879846796,468.9289924924668,0.0
120000,2,3,1,48,-2,-2,-2,-2,-2,-2,2468,7869,506,2097,758,2005,7890,506,2097,758,2005,360,0.020566666666666667,0.065575,0.004216666666666666,0.017475,0.006316666666666667,0.016708333333333332,0.02180972222222222,1.0026686999618757,1.0,1.0,1.0,1.0,1.0005337399923753,-2,0,0,0,463,117532,2689.343817117229,2854.1370441285167,0.0
50000,1,3,1,42,0,0,0,0,0,0,45220,46272,47330,48337,49298,50510,1800,1800,1800,1748,1990,2500,0.9044,0.92544,0.9466,0.96674,0.98596,1.0102,0.9565566666666667,0.03890041493775934,0.03803084724276357,0.03723855431656909,0.03545782790376892,0.039398138982379725,0.037805156676648126,0,0,0,0,-5290,4780,1953.658559387148,286.9715433046745,0.0
360000,2,2,2,30,1,2,2,-1,-1,-2,7102,6922,1861,1457,-129,-2629,1893,0,1457,2500,326,0,0.019727777777777778,0.019227777777777778,0.005169444444444444,0.004047222222222222,-0.00035833333333333333,-0.007302777777777778,0.006751851851851852,0.2734758740248483,0.0,1.0,,,0.4244919580082828,2,5,3,3,9731,352898,3883.7635698722274,1068.2145227746469,0.0
150000,2,2,2,32,6,5,4,3,2,2,81341,79529,77757,75841,73678,77273,0,0,0,0,4874,1000,0.5422733333333334,0.5301933333333333,0.51838,0.5056066666666666,0.49118666666666666,0.5151533333333334,0.5171322222222222,0.0,0.0,0.0,0.0,0.06307507149974764,0.012615014299949528,6,22,6,4,4068,68659,2695.1216979325195,1949.6271438405856,0.0
210000,2,1,1,38,-1,-1,2,2,-1,-1,2360,4707,4465,0,9306,5855,4465,0,0,9306,5855,9840,0.011238095238095238,0.022414285714285713,0.021261904761904763,0.0,0.044314285714285716,0.02788095238095238,0.02118492063492063,0.9485872105374974,0.0,,1.0,1.0,0.7371468026343744,2,4,2,0,-3495,207640,3155.681442520247,4311.309777782153,0.0
180000,1,3,2,55,0,0,0,0,0,0,193095,186835,182287,159992,145387,137632,6900,7100,5659,5100,4900,4400,1.07275,1.0379722222222223,1.0127055555555555,0.8888444444444444,0.8077055555555556,0.7646222222222222,0.9307666666666666,0.03693098188240961,0.038949568537525986,0.0353705185259263,0.035078789712972964,0.03560218553824692,0.03638640883941636,0,0,0,0,55463,-13095,23173.45555587254,1103.4824420895875,0.0
200000,1,1,2,30,1,2,2,2,2,2,182499,184632,180260,192260,187714,195702,6600,0,15000,0,11013,5549,0.912495,0.92316,0.9013,0.9613,0.93857,0.97851,0.9358891666666667,0.03574678278954894,0.0,0.07801934879850203,0.0,0.056274335469233834,0.034008093411456955,2,11,6,-1,-13203,17501,5916.189260551649,5965.140892440569,1.0
150000,2,2,2,30,-1,-1,-2,-2,-1,-1,55,-94,-208,-208,993,0,0,239,0,1201,0,2184,0.00036666666666666667,-0.0006266666666666666,-0.0013866666666666667,-0.0013866666666666667,0.00662,0.0,0.0005977777777777778,,,,1.2094662638469285,,1.2094662638469285,-1,0,0,0,55,149945,455.2356166499571,903.3805399719434,0.0
300000,2,1,2,29,-2,-2,-2,-2,-2,-2,-5478,-8584,-14998,10980,1123,4665,1220,33,30044,12,11493,4983,-0.01826,-0.028613333333333334,-0.049993333333333334,0.0366,0.0037433333333333333,0.01555,-0.006828888888888889,,,2.736247723132969,0.01068566340160285,2.4636655948553057,1.7368663271299594,-2,0,0,0,-10143,305478,9455.528407586044,11666.046483992195,0.0
310000,2,2,1,43,1,2,2,2,2,2,266629,270414,264482,280240,285805,272059,9500,0,20000,10000,0,9755,0.8600935483870967,0.8723032258064516,0.8531677419354838,0.904,0.9219516129032258,0.8776096774193548,0.8815209677419354,0.03513131716553137,0.0,0.07136739937196689,0.034988891027098894,0.0,0.02829752151291943,2,11,6,-1,-5430,43371,8205.634570220636,7497.566549665742,1.0
130000,2,2,2,24,0,0,0,0,0,0,122750,118319,61466,48288,48898,49699,4966,2034,1710,1765,2000,2672,0.9442307692307692,0.9101461538461538,0.47281538461538464,0.37144615384615387,0.37613846153846153,0.3823,0.5761794871794872,0.041971281028406256,0.03309146520027332,0.03541252485089463,0.0360955458300953,0.04024225839554116,0.03736261506104213,0,0,0,0,73051,7250,35706.29440122101,1244.0755202157143,0.0
220000,2,2,1,31,0,0,0,0,0,0,79226,78693,78297,78980,77817,77569,3900,3500,4000,2700,3000,10000,0.36011818181818184,0.35769545454545454,0.35589545454545457,0.359,0.35371363636363634,0.35258636363636364,0.3565015151515152,0.049559681293126455,0.04470158499048495,0.05064573309698658,0.034696788619453335,0.03867524397633075,0.04365580639527641,0,0,0,0,1657,140774,654.2267700626952,2733.0690929185575,0.0
200000,2,2,2,39,-1,-1,-2,-2,-2,-1,1017,0,0,0,0,11700,0,0,0,0,11700,121513,0.005085,0.0,0.0,0.0,0.0,0.0585,0.010597500000000001,,,,,1.0,1.0,-1,0,0,0,-10683,198983,4711.063733383364,48876.74690654715,0.0
300000,1,2,1,51,1,2,0,0,0,2,198235,193548,198422,204116,214691,218101,0,8000,9000,15500,7000,10000,0.6607833333333333,0.64516,0.6614066666666667,0.6803866666666667,0.7156366666666667,0.7270033333333333,0.6817294444444445,0.0,0.0403181098870085,0.04409257481040193,0.07219678514702527,0.032095221938459706,0.037740538356579076,2,5,3,-1,-19866,101765,9850.153530106354,5017.46948172084,0.0
